Classification,Accuracy,Precision,Recall,F1 Score,ROC/AUC
Decision Tree,0.9081 +- 0.02,0.8875 +- 0.03,0.8989 +- 0.03,0.8929 +- 0.02,0.9069 +- 0.02
KNN,0.8942 +- 0.02,0.8683 +- 0.02,0.8877 +- 0.02,0.8779 +- 0.02,0.8932 +- 0.02
Logistic Regression,0.9229 +- 0.01,0.8996 +- 0.02,0.9234 +- 0.01,0.9112 +- 0.01,0.9229 +- 0.01
MLP,0.9257 +- 0.01,0.9030 +- 0.03,0.9265 +- 0.01,0.9143 +- 0.02,0.9260 +- 0.01
Random Forest,0.9228 +- 0.01,0.9056 +- 0.01,0.9151 +- 0.02,0.9103 +- 0.01,0.9217 +- 0.01
SVM,0.9249 +- 0.01,0.9027 +- 0.02,0.9241 +- 0.02,0.9130 +- 0.01,0.9246 +- 0.01
