Classification,Accuracy,Precision,Recall,F1 Score,ROC/AUC
Decision Tree,0.9055 +- 0.01,0.8850 +- 0.02,0.8964 +- 0.01,0.8906 +- 0.01,0.9043 +- 0.01
KNN,0.9005 +- 0.01,0.8791 +- 0.01,0.8896 +- 0.01,0.8843 +- 0.01,0.8992 +- 0.01
Logistic Regression,0.9247 +- 0.01,0.8985 +- 0.02,0.9294 +- 0.02,0.9135 +- 0.01,0.9251 +- 0.01
MLP,0.9268 +- 0.01,0.9058 +- 0.02,0.9249 +- 0.01,0.9151 +- 0.01,0.9265 +- 0.01
Random Forest,0.9244 +- 0.01,0.9067 +- 0.02,0.9181 +- 0.01,0.9123 +- 0.02,0.9234 +- 0.01
SVM,0.9273 +- 0.01,0.9096 +- 0.02,0.9217 +- 0.02,0.9154 +- 0.01,0.9264 +- 0.01
