Classification,Accuracy,Precision,Recall,F1 Score,ROC/AUC
Decision Tree,0.9247 +- 0.01,0.9157 +- 0.02,0.9084 +- 0.02,0.9117 +- 0.01,0.9225 +- 0.00
KNN,0.9242 +- 0.01,0.9198 +- 0.01,0.9014 +- 0.02,0.9104 +- 0.01,0.9213 +- 0.01
Logistic Regression,0.9270 +- 0.01,0.9178 +- 0.01,0.9117 +- 0.02,0.9145 +- 0.01,0.9254 +- 0.01
MLP,0.9278 +- 0.01,0.9205 +- 0.02,0.9098 +- 0.02,0.9148 +- 0.01,0.9253 +- 0.01
Random Forest,0.9286 +- 0.01,0.9214 +- 0.01,0.9109 +- 0.02,0.9161 +- 0.01,0.9262 +- 0.01
SVM,0.9292 +- 0.01,0.9219 +- 0.02,0.9114 +- 0.02,0.9164 +- 0.01,0.9268 +- 0.01
