Classification,Accuracy,Precision,Recall,F1 Score,ROC/AUC
Decision Tree,0.8349 +- 0.02,0.4271 +- 0.03,0.6326 +- 0.05,0.5094 +- 0.03,0.7496 +- 0.03
KNN,0.8537 +- 0.02,0.4764 +- 0.09,0.6937 +- 0.07,0.5613 +- 0.08,0.7862 +- 0.04
Logistic Regression,0.7905 +- 0.03,0.3707 +- 0.03,0.7801 +- 0.11,0.5018 +- 0.05,0.7868 +- 0.07
MLP,0.8387 +- 0.02,0.4498 +- 0.07,0.6674 +- 0.14,0.5253 +- 0.02,0.7674 +- 0.05
Random Forest,0.8837 +- 0.03,0.5641 +- 0.08,0.7186 +- 0.11,0.6275 +- 0.07,0.8144 +- 0.06
SVM,0.8455 +- 0.02,0.4607 +- 0.04,0.7592 +- 0.05,0.5721 +- 0.04,0.8091 +- 0.02
