Classification,Accuracy,Precision,Recall,F1 Score,ROC/AUC
Decision Tree,0.8368 +- 0.02,0.4365 +- 0.02,0.7007 +- 0.01,0.5377 +- 0.02,0.7793 +- 0.01
KNN,0.8486 +- 0.03,0.4618 +- 0.11,0.6352 +- 0.07,0.5326 +- 0.09,0.7583 +- 0.04
Logistic Regression,0.7861 +- 0.03,0.3669 +- 0.07,0.7935 +- 0.04,0.4996 +- 0.07,0.7889 +- 0.03
MLP,0.8105 +- 0.03,0.3940 +- 0.02,0.7534 +- 0.10,0.5163 +- 0.04,0.7859 +- 0.04
Random Forest,0.8780 +- 0.04,0.5452 +- 0.09,0.7676 +- 0.07,0.6354 +- 0.08,0.8316 +- 0.05
SVM,0.7748 +- 0.03,0.3582 +- 0.05,0.8144 +- 0.06,0.4961 +- 0.06,0.7916 +- 0.03
