Classification,Accuracy,Precision,Recall,F1 Score,ROC/AUC
Decision Tree,0.6910 +- 0.03,0.2681 +- 0.05,0.7338 +- 0.08,0.3911 +- 0.06,0.7089 +- 0.03
KNN,0.7017 +- 0.02,0.2778 +- 0.03,0.7500 +- 0.02,0.4046 +- 0.03,0.7219 +- 0.00
Logistic Regression,0.7824 +- 0.02,0.3643 +- 0.06,0.8208 +- 0.06,0.5025 +- 0.06,0.7982 +- 0.03
MLP,0.7873 +- 0.05,0.3743 +- 0.06,0.8170 +- 0.07,0.5124 +- 0.06,0.7995 +- 0.05
Random Forest,0.7911 +- 0.03,0.3766 +- 0.04,0.8131 +- 0.04,0.5137 +- 0.04,0.8005 +- 0.03
SVM,0.7817 +- 0.02,0.3658 +- 0.05,0.8183 +- 0.05,0.5046 +- 0.05,0.7970 +- 0.03
