event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
79,1,France,away, 46' ,Yellow card, Ousmane Dembélé ,
80,1,England,home, 54' ,Penalty, Harry Kane , Penalty 
81,1,France,away, 78' ,Goal, Olivier Giroud , Antoine Griezmann 
82,1,England,home, 79' ,Substitution, Mason Mount , Jordan Henderson 
83,1,France,away, 79' ,Substitution, Kingsley Coman , Ousmane Dembélé 
84,1,England,home, 79' ,Substitution, Raheem Sterling , Bukayo Saka 
85,1,France,away, 82' ,Yellow card, Theo Hernandez ,
86,1,England,home, 84' ,Missed penalty, Harry Kane , Missed penalty 
87,1,England,home, 85' ,Substitution, Marcus Rashford , Phil Foden 
88,1,England,home, 90' ,Yellow card, Harry Maguire ,
89,1,England,home, 98' ,Substitution, Jack Grealish , John Stones 
90,1,Morocco,home, 42' ,Goal, Youssef En-Nesyri , Yahia Attiyat Allah 
91,1,Portugal,away, 51' ,Substitution, João Cancelo , Raphaël Guerreiro 
92,1,Portugal,away, 51' ,Substitution, Cristiano Ronaldo , Rúben Neves 
93,1,Morocco,home, 57' ,Substitution, Achraf Dari , Romain Saïss 
94,1,Morocco,home, 65' ,Substitution, Walid Cheddira , Selim Amallah 
95,1,Morocco,home, 65' ,Substitution, Badr Benoun , Youssef En-Nesyri 
96,1,Portugal,away, 69' ,Substitution, Rafael Leão , Gonçalo Ramos 
97,1,Portugal,away, 69' ,Substitution, Vitinha , Otávio 
98,1,Morocco,home, 70' ,Yellow card, Achraf Dari ,
99,1,Portugal,away, 79' ,Substitution, Ricardo Horta , Diogo Dalot 
100,1,Morocco,home, 82' ,Substitution, Zakaria Aboukhlal , Hakim Ziyech 
101,1,Morocco,home, 82' ,Substitution, Yahya Jabrane , Sofiane Boufal 
102,1,Portugal,away, 87' ,Yellow card, Vitinha ,
103,1,Morocco,home, 91' ,Yellow card, Walid Cheddira ,
104,1,Morocco,home, 93' ,Second yellow card, Walid Cheddira ,
105,1,Argentina,away, 35' ,Goal, Nahuel Molina , Lionel Messi 
106,1,Netherlands,home, 43' ,Yellow card, Jurriën Timber ,
107,1,Argentina,away, 43' ,Yellow card, Marcos Acuña ,
108,1,Argentina,away, 45' ,Yellow card, Cristian Romero ,
109,1,Netherlands,home, 47' ,Yellow card, Wout Weghorst ,
110,1,Netherlands,home, 45' ,Substitution, Steven Berghuis , Steven Bergwijn 
111,1,Netherlands,home, 45' ,Substitution, Teun Koopmeiners , Marten de Roon 
112,1,Netherlands,home, 64' ,Substitution, Luuk de Jong , Daley Blind 
113,1,Argentina,away, 66' ,Substitution, Leandro Paredes , Rodrigo De Paul 
114,1,Argentina,away, 73' ,Penalty, Lionel Messi , Penalty 
115,1,Netherlands,home, 76' ,Yellow card, Memphis ,
116,1,Argentina,away, 76' ,Yellow card, Lisandro Martínez ,
117,1,Argentina,away, 78' ,Substitution, Nicolás Tagliafico , Marcos Acuña 
118,1,Argentina,away, 78' ,Substitution, Germán Pezzella , Cristian Romero 
119,1,Netherlands,home, 78' ,Substitution, Wout Weghorst , Memphis 
120,1,Argentina,away, 82' ,Substitution, Lautaro Martínez , Julián Álvarez 
121,1,Netherlands,home, 83' ,Goal, Wout Weghorst , Steven Berghuis 
122,1,Netherlands,home, 88' ,Yellow card, Steven Berghuis ,
123,1,Argentina,away, 89' ,Yellow card, Leandro Paredes ,
124,1,Argentina,away, 100' ,Yellow card, Lionel Messi ,
125,1,Netherlands,home, 101' ,Goal, Wout Weghorst , Teun Koopmeiners 
126,1,Argentina,away, 101' ,Yellow card, Nicolás Otamendi ,
127,1,Netherlands,home, 104' ,Yellow card, Steven Bergwijn ,
128,1,Argentina,away, 105' ,Substitution, Gonzalo Montiel , Nahuel Molina 
129,1,Argentina,away, 109' ,Yellow card, Gonzalo Montiel ,
130,1,Argentina,away, 112' ,Substitution, Ángel Di María , Lisandro Martínez 
131,1,Argentina,away, 112' ,Yellow card, Germán Pezzella ,
132,1,Netherlands,home, 113' ,Substitution, Noa Lang , Cody Gakpo 
133,1,Netherlands,home,False,PK,,
134,1,Argentina,away,False,PK,,
135,1,Netherlands,home,False,PK,,
136,1,Argentina,away,False,PK,,
137,1,Netherlands,home,False,PK,,
138,1,Argentina,away,False,PK,,
139,1,Netherlands,home,False,PK,,
140,1,Argentina,away,False,PK,,
141,1,Netherlands,home,False,PK,,
142,1,Argentina,away,False,PK,,
143,1,Netherlands,home, 128' ,Yellow card, Denzel Dumfries ,
144,1,Netherlands,home, 128' ,Yellow card, Noa Lang ,
145,1,Netherlands,home, 128' ,Second yellow card, Denzel Dumfries ,
146,1,Brazil,away, 25' ,Yellow card, Danilo ,
147,1,Croatia,home, 31' ,Yellow card, Marcelo Brozović ,
148,1,Brazil,away, 56' ,Substitution, Antony , Raphinha 
149,1,Brazil,away, 64' ,Substitution, Rodrygo , Vinícius Júnior 
150,1,Brazil,away, 68' ,Yellow card, Casemiro ,
151,1,Croatia,home, 72' ,Substitution, Nikola Vlašić , Mario Pašalić 
152,1,Croatia,home, 72' ,Substitution, Bruno Petković , Andrej Kramarić 
153,1,Brazil,away, 77' ,Yellow card, Marquinhos ,
154,1,Brazil,away, 84' ,Substitution, Pedro , Richarlison 
155,1,Brazil,away, 106' ,Goal, Neymar , Lucas Paquetá 
156,1,Croatia,home, 105' ,Substitution, Lovro Majer , Mateo Kovačić 
157,1,Brazil,away, 105' ,Substitution, Alex Sandro , Éder Militão 
158,1,Brazil,away, 105' ,Substitution, Fred , Lucas Paquetá 
159,1,Croatia,home, 110' ,Substitution, Ante Budimir , Borna Sosa 
160,1,Croatia,home, 114' ,Substitution, Mislav Oršić , Marcelo Brozović 
161,1,Croatia,home, 117' ,Goal, Bruno Petković , Mislav Oršić 
162,1,Croatia,home, 117' ,Yellow card, Bruno Petković ,
163,1,Croatia,home,False,PK,,
164,1,Brazil,away,False,PK,,
165,1,Croatia,home,False,PK,,
166,1,Brazil,away,False,PK,,
167,1,Croatia,home,False,PK,,
168,1,Brazil,away,False,PK,,
169,1,Croatia,home,False,PK,,
170,1,Brazil,away,False,PK,,
171,1,Portugal,home, 17' ,Goal, Gonçalo Ramos , João Félix 
172,1,Portugal,home, 33' ,Goal, Pepe , Bruno Fernandes 
173,1,Switzerland,away, 43' ,Yellow card, Fabian Schär ,
174,1,Switzerland,away, 45' ,Substitution, Eray Cömert , Fabian Schär 
175,1,Portugal,home, 51' ,Goal, Gonçalo Ramos ,
176,1,Switzerland,away, 54' ,Substitution, Denis Zakaria , Remo Freuler 
177,1,Switzerland,away, 54' ,Substitution, Haris Seferovic , Djibril Sow 
178,1,Portugal,home, 55' ,Goal, Raphaël Guerreiro , Gonçalo Ramos 
179,1,Switzerland,away, 58' ,Goal, Manuel Akanji ,
180,1,Switzerland,away, 59' ,Yellow card, Eray Cömert ,
181,1,Switzerland,away, 66' ,Substitution, Noah Okafor , Ruben Vargas 
182,1,Portugal,home, 67' ,Goal, Gonçalo Ramos , João Félix 
183,1,Portugal,home, 73' ,Substitution, Cristiano Ronaldo , João Félix 
184,1,Portugal,home, 74' ,Substitution, Ricardo Horta , Gonçalo Ramos 
185,1,Portugal,home, 74' ,Substitution, Vitinha , Otávio 
186,1,Portugal,home, 81' ,Substitution, Rúben Neves , Bernardo Silva 
187,1,Portugal,home, 87' ,Substitution, Rafael Leão , Bruno Fernandes 
188,1,Switzerland,away, 89' ,Substitution, Ardon Jashari , Breel Embolo 
189,1,Portugal,home, 92' ,Goal, Rafael Leão , Raphaël Guerreiro 
190,1,Spain,away, 63' ,Substitution, Álvaro Morata , Marco Asensio 
191,1,Spain,away, 63' ,Substitution, Carlos Soler , Gavi 
192,1,Morocco,home, 66' ,Substitution, Abdessamad Ezzalzouli , Sofiane Boufal 
193,1,Spain,away, 75' ,Substitution, Nico Williams , Ferran Torres 
194,1,Spain,away, 76' ,Yellow card, Aymeric Laporte ,
195,1,Morocco,home, 82' ,Substitution, Walid Cheddira , Selim Amallah 
196,1,Morocco,home, 82' ,Substitution, Abdelhamid Sabiri , Youssef En-Nesyri 
197,1,Morocco,home, 82' ,Substitution, Yahia Attiyat Allah , Noussair Mazraoui 
198,1,Morocco,home, 84' ,Substitution, Jawad El Yamiq , Nayef Aguerd 
199,1,Morocco,home, 90' ,Yellow card, Romain Saïss ,
200,1,Spain,away, 98' ,Substitution, Ansu Fati , Dani Olmo 
201,1,Spain,away, 98' ,Substitution, Alejandro Baldé , Jordi Alba 
202,1,Spain,away, 118' ,Substitution, Pablo Sarabia , Nico Williams 
203,1,Morocco,home, 120' ,Substitution, Badr Benoun , Azzedine Ounahi 
204,1,Morocco,home,False,PK,,
205,1,Spain,away,False,PK,,
206,1,Morocco,home,False,PK,,
207,1,Spain,away,False,PK,,
208,1,Morocco,home,False,PK,,
209,1,Spain,away,False,PK,,
210,1,Morocco,home,False,PK,,
211,1,Brazil,home, 7' ,Goal, Vinícius Júnior , Neymar 
212,1,Brazil,home, 13' ,Penalty, Neymar , Penalty 
213,1,Brazil,home, 29' ,Goal, Richarlison , Thiago Silva 
214,1,Brazil,home, 36' ,Goal, Lucas Paquetá , Vinícius Júnior 
215,1,South Korea,away, 44' ,Yellow card, Jung Woo-young ,
216,1,South Korea,away, 45' ,Substitution, Hong Chul , Kim Jin-su 
217,1,South Korea,away, 45' ,Substitution, Son Jun-ho , Jung Woo-young 
218,1,Brazil,home, 63' ,Substitution, Dani Alves , Éder Militão 
219,1,South Korea,away, 65' ,Substitution, Paik Seung-ho , Hwang In-beom 
220,1,Brazil,home, 72' ,Substitution, Bremer , Danilo 
221,1,Brazil,home, 72' ,Substitution, Gabriel Martinelli , Vinícius Júnior 
222,1,South Korea,away, 74' ,Substitution, Lee Kang-in , Lee Jae-sung 
223,1,South Korea,away, 76' ,Goal, Paik Seung-ho ,
224,1,Brazil,home, 80' ,Substitution, Weverton , Alisson 
225,1,South Korea,away, 80' ,Substitution, Hwang Ui-jo , Cho Gue-sung 
226,1,Brazil,home, 81' ,Substitution, Rodrygo , Neymar 
227,1,Japan,home, 43' ,Goal, Daizen Maeda , Maya Yoshida 
228,1,Croatia,away, 55' ,Goal, Ivan Perišić , Dejan Lovren 
229,1,Croatia,away, 62' ,Substitution, Ante Budimir , Bruno Petković 
230,1,Japan,home, 64' ,Substitution, Kaoru Mitoma , Yuto Nagatomo 
231,1,Japan,home, 64' ,Substitution, Takuma Asano , Daizen Maeda 
232,1,Croatia,away, 68' ,Substitution, Mario Pašalić , Andrej Kramarić 
233,1,Japan,home, 75' ,Substitution, Hiroki Sakai , Daichi Kamada 
234,1,Japan,home, 87' ,Substitution, Takumi Minamino , Ritsu Dōan 
235,1,Croatia,away, 90' ,Yellow card, Mateo Kovačić ,
236,1,Croatia,away, 99' ,Substitution, Lovro Majer , Luka Modrić 
237,1,Croatia,away, 99' ,Substitution, Nikola Vlašić , Mateo Kovačić 
238,1,Japan,home, 105' ,Substitution, Ao Tanaka , Hidemasa Morita 
239,1,Croatia,away, 105' ,Substitution, Marko Livaja , Ante Budimir 
240,1,Croatia,away, 105' ,Substitution, Mislav Oršić , Ivan Perišić 
241,1,Croatia,away, 116' ,Yellow card, Borna Barišić ,
242,1,Japan,home,False,PK,,
243,1,Croatia,away,False,PK,,
244,1,Japan,home,False,PK,,
245,1,Croatia,away,False,PK,,
246,1,Japan,home,False,PK,,
247,1,Croatia,away,False,PK,,
248,1,Japan,home,False,PK,,
249,1,Croatia,away,False,PK,,
250,1,England,home, 39' ,Goal, Jordan Henderson , Jude Bellingham 
251,1,England,home, 48' ,Goal, Harry Kane , Phil Foden 
252,1,Senegal,away, 45' ,Substitution, Pape Gueye , Pathé Ciss 
253,1,Senegal,away, 45' ,Substitution, Bamba Dieng , Iliman Ndiaye 
254,1,Senegal,away, 45' ,Substitution, Pape Matar Sarr , Krépin Diatta 
255,1,England,home, 57' ,Goal, Bukayo Saka , Phil Foden 
256,1,England,home, 65' ,Substitution, Marcus Rashford , Bukayo Saka 
257,1,England,home, 65' ,Substitution, Jack Grealish , Phil Foden 
258,1,Senegal,away, 72' ,Substitution, Famara Diédhiou , Boulaye Dia 
259,1,Senegal,away, 76' ,Yellow card, Kalidou Koulibaly ,
260,1,England,home, 76' ,Substitution, Mason Mount , Jude Bellingham 
261,1,England,home, 77' ,Substitution, Eric Dier , John Stones 
262,1,England,home, 82' ,Substitution, Kalvin Phillips , Jordan Henderson 
263,1,Senegal,away, 84' ,Substitution, Fodé Ballo-Touré , Ismail Jakobs 
264,1,France,home, 31' ,Yellow card, Aurélien Tchouaméni ,
265,1,France,home, 44' ,Goal, Olivier Giroud , Kylian Mbappé 
266,1,Poland,away, 47' ,Yellow card, Bartosz Bereszyński ,
267,1,Poland,away, 64' ,Substitution, Arek Milik , Sebastian Szymański 
268,1,France,home, 66' ,Substitution, Youssouf Fofana , Aurélien Tchouaméni 
269,1,Poland,away, 71' ,Substitution, Nicola Zalewski , Jakub Kamiński 
270,1,Poland,away, 71' ,Substitution, Krystian Bielik , Grzegorz Krychowiak 
271,1,France,home, 74' ,Goal, Kylian Mbappé , Ousmane Dembélé 
272,1,France,home, 76' ,Substitution, Marcus Thuram , Olivier Giroud 
273,1,France,home, 76' ,Substitution, Kingsley Coman , Ousmane Dembélé 
274,1,Poland,away, 86' ,Substitution, Jan Bednarek , Jakub Kiwior 
275,1,Poland,away, 87' ,Substitution, Kamil Grosicki , Przemysław Frankowski 
276,1,Poland,away, 88' ,Yellow card, Matty Cash ,
277,1,France,home, 91' ,Goal, Kylian Mbappé , Marcus Thuram 
278,1,France,home, 92' ,Substitution, Axel Disasi , Jules Koundé 
279,1,Poland,away, 99' ,Penalty, Robert Lewandowski , Penalty 
280,1,Australia,away, 15' ,Yellow card, Jackson Irvine ,
281,1,Argentina,home, 35' ,Goal, Lionel Messi , Nicolás Otamendi 
282,1,Australia,away, 38' ,Yellow card, Miloš Degenek ,
283,1,Argentina,home, 50' ,Substitution, Lisandro Martínez , Papu Gómez 
284,1,Argentina,home, 57' ,Goal, Julián Álvarez ,
285,1,Australia,away, 58' ,Substitution, Ajdin Hrustić , Keanu Baccus 
286,1,Australia,away, 58' ,Substitution, Craig Goodwin , Riley McGree 
287,1,Argentina,home, 71' ,Substitution, Lautaro Martínez , Julián Álvarez 
288,1,Argentina,home, 72' ,Substitution, Nicolás Tagliafico , Marcos Acuña 
289,1,Australia,away, 72' ,Substitution, Jamie Maclaren , Mitchell Duke 
290,1,Australia,away, 72' ,Substitution, Garang Kuol , Mathew Leckie 
291,1,Australia,away, 72' ,Substitution, Fran Karačić , Miloš Degenek 
292,1,Australia,away, 77' ,Own goal, Enzo Fernández , Own goal 
293,1,Argentina,home, 80' ,Substitution, Gonzalo Montiel , Alexis Mac Allister 
294,1,Argentina,home, 80' ,Substitution, Exequiel Palacios , Nahuel Molina 
295,1,Netherlands,home, 10' ,Goal, Memphis , Denzel Dumfries 
296,1,Netherlands,home, 46' ,Goal, Daley Blind , Denzel Dumfries 
297,1,Netherlands,home, 45' ,Substitution, Teun Koopmeiners , Davy Klaassen 
298,1,USA,away, 45' ,Substitution, Giovanni Reyna , Jesús Ferreira 
299,1,Netherlands,home, 45' ,Substitution, Steven Bergwijn , Marten de Roon 
300,1,Netherlands,home, 60' ,Yellow card, Teun Koopmeiners ,
301,1,USA,away, 67' ,Substitution, Brenden Aaronson , Tim Weah 
302,1,USA,away, 67' ,Substitution, Haji Wright , Weston McKennie 
303,1,USA,away, 75' ,Substitution, DeAndre Yedlin , Sergiño Dest 
304,1,USA,away, 76' ,Goal, Haji Wright , Christian Pulisic 
305,1,Netherlands,home, 81' ,Goal, Denzel Dumfries , Daley Blind 
306,1,Netherlands,home, 83' ,Substitution, Xavi Simons , Memphis 
307,1,Netherlands,home, 87' ,Yellow card, Frenkie de Jong ,
308,1,USA,away, 92' ,Substitution, Jordan Morris , Antonee Robinson 
309,1,Netherlands,home, 93' ,Substitution, Matthijs de Ligt , Nathan Aké 
310,1,Netherlands,home, 93' ,Substitution, Wout Weghorst , Cody Gakpo 
311,1,Switzerland,away, 15' ,Yellow card, Silvan Widmer ,
312,1,Switzerland,away, 20' ,Goal, Xherdan Shaqiri , Djibril Sow 
313,1,Serbia,home, 26' ,Goal, Aleksandar Mitrović , Dušan Tadić 
314,1,Switzerland,away, 34' ,Yellow card, Ruben Vargas ,
315,1,Serbia,home, 35' ,Goal, Dušan Vlahović ,
316,1,Switzerland,away, 44' ,Goal, Breel Embolo , Silvan Widmer 
317,1,Serbia,home, 47' ,Yellow card, Sergej Milinković-Savić ,
318,1,Switzerland,away, 48' ,Goal, Remo Freuler , Ruben Vargas 
319,1,Serbia,home, 55' ,Substitution, Nemanja Gudelj , Milos Veljkovic 
320,1,Serbia,home, 55' ,Substitution, Luka Jović , Dušan Vlahović 
321,1,Serbia,home, 56' ,Yellow card, Strahinja Pavlović ,
322,1,Serbia,home, 66' ,Yellow card, Predrag Rajković ,
323,1,Serbia,home, 67' ,Substitution, Nemanja Maksimović , Sergej Milinković-Savić 
324,1,Switzerland,away, 68' ,Substitution, Edimilson Fernandes , Djibril Sow 
